SYMBOL,GENENAME,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Cd300c,CD300c molecule,ENSRNOG00000045888,12.51193237,-6.918123273,2.361663207,-2.929343716,0.003396786,0.016381006,down
Ube2ql1,ubiquitin-conjugating enzyme E2Q family-like 1,ENSRNOG00000034075,11.64985305,-6.814512424,1.732849788,-3.932546532,8.41e-05,0.000840238,down
Itga2,integrin subunit alpha 2,ENSRNOG00000058111,11.44974137,-6.789804838,1.739828259,-3.90257188,9.52e-05,0.000924862,down
Gpr33,G protein-coupled receptor 33,ENSRNOG00000038990,11.2666513,-6.765537385,1.7957454,-3.767537083,0.000164866,0.001443154,down
ENSRNOG00000065259,ENSRNOG00000065259,ENSRNOG00000065259,11.24752073,-6.763666293,2.420282032,-2.794577741,0.005196754,0.02274216,down
LOC102549548,uncharacterized LOC102549548,ENSRNOG00000039860,10.65208084,-6.685887192,1.803196235,-3.707797889,0.000209069,0.001754232,down
Chrdl2,chordin-like 2,ENSRNOG00000018394,10.62412731,-6.681569573,1.752101271,-3.813460833,0.000137034,0.001248268,down
Clec6a-ps1,C-type lectin domain family 6,ENSRNOG00000010057,10.50571061,-6.664030511,1.826245921,-3.649032387,0.00026323,0.002110841,down
LOC500174,immunoglobulin kappa variable 1D-33-like,ENSRNOG00000068921,182.3333105,-6.619326562,1.097731038,-6.030007657,1.64e-09,8.23e-08,down
ENSRNOG00000065156,ENSRNOG00000065156,ENSRNOG00000065156,1442.459824,-6.607166711,1.100176915,-6.00554931,1.91e-09,9.42e-08,down
Serpinb2,serpin family B member 2,ENSRNOG00000002460,9.951942347,-6.588299672,1.826233443,-3.607588994,0.000309056,0.002404562,down
Astl,astacin like metalloendopeptidase,ENSRNOG00000022603,9.277736847,-6.484735893,1.887653694,-3.435341935,0.000591807,0.004089281,down
ENSRNOG00000068164,ENSRNOG00000068164,ENSRNOG00000068164,9.06891361,-6.452073592,1.863442826,-3.462447841,0.000535286,0.003768074,down
Il17a,interleukin 17A,ENSRNOG00000012467,9.015655818,-6.445292848,2.045938174,-3.150287203,0.0016311,0.00913825,down
Gucy2c,guanylate cyclase 2C,ENSRNOG00000009031,8.778138934,-6.405848453,1.882492111,-3.402855405,0.000666856,0.004485685,down
Dpp10,dipeptidyl peptidase like 10,ENSRNOG00000002595,7.905869677,-6.255588377,1.907008409,-3.280315045,0.001036912,0.006364536,down
Gsdmc,gasdermin C,ENSRNOG00000054576,7.855770332,-6.244903056,1.938114389,-3.222154013,0.001272307,0.007509053,down
ENSRNOG00000064829,ENSRNOG00000064829,ENSRNOG00000064829,7.795224593,-6.234164028,1.953589248,-3.191133465,0.001417158,0.008161265,down
Gpr84,G protein-coupled receptor 84,ENSRNOG00000036834,40.35205658,-6.231318804,1.211724716,-5.142520179,2.71e-07,6.67e-06,down
ENSRNOG00000060198,ENSRNOG00000060198,ENSRNOG00000060198,7.763143429,-6.227485345,1.973281526,-3.15590313,0.00160002,0.00900173,down
Rtkn2,rhotekin 2,ENSRNOG00000000636,15.06753104,-6.203805461,1.934293113,-3.207272682,0.001339999,0.007820063,down
Adgra1,adhesion G protein-coupled receptor A1,ENSRNOG00000054955,7.476496392,-6.174094479,2.007242382,-3.075908786,0.00209862,0.011237735,down
ENSRNOG00000070832,ENSRNOG00000070832,ENSRNOG00000070832,134.5577016,-6.117636407,0.643852674,-9.501609072,2.07e-21,9.02e-19,down
Rdh12,retinol dehydrogenase 12,ENSRNOG00000056553,7.085323201,-6.096214402,2.058412881,-2.96160914,0.00306036,0.015076148,down
LOC102547329,T cell receptor beta variable 11-2-like,ENSRNOG00000068200,6.915156338,-6.062225835,2.016415977,-3.006436125,0.002643296,0.013448201,down
Gadl1,glutamate decarboxylase-like 1,ENSRNOG00000067908,6.883075174,-6.05462092,1.998555959,-3.02949782,0.002449607,0.012654788,down
Fgf23,fibroblast growth factor 23,ENSRNOG00000066556,49.90668462,-6.045968982,1.022529344,-5.912758413,3.36e-09,1.57e-07,down
ENSRNOG00000064508,ENSRNOG00000064508,ENSRNOG00000064508,6.819625582,-6.041717039,1.992228789,-3.032642171,0.002424229,0.012544782,down
ENSRNOG00000070877,ENSRNOG00000070877,ENSRNOG00000070877,6.619541288,-5.998054231,2.057542771,-2.915154094,0.00355513,0.016978887,down
Cpne6,copine 6,ENSRNOG00000018399,6.54416506,-5.982112685,2.024124183,-2.955407941,0.003122559,0.015304934,down
LOC100360848,rCG64259-like,ENSRNOG00000047464,932.1388427,-5.971861608,0.536419308,-11.13282375,8.680000000000001e-29,7.76e-26,down
Kcnip4,potassium voltage-gated channel interacting protein 4,ENSRNOG00000032350,6.429932632,-5.958530695,2.106396166,-2.828779691,0.004672585,0.02095631,down
H1f8,H1.8 linker histone,ENSRNOG00000025251,6.417009421,-5.952594662,2.100532263,-2.833850623,0.004599082,0.020705797,down
Scn1a,sodium voltage-gated channel alpha subunit 1,ENSRNOG00000053122,6.35429995,-5.939939491,2.032006362,-2.923189417,0.003464657,0.016639925,down
H1f5,H1.5 linker histone,ENSRNOG00000060355,6.341176913,-5.935955646,2.134425583,-2.781055331,0.00541825,0.023552264,down
ENSRNOG00000067679,ENSRNOG00000067679,ENSRNOG00000067679,51.87343055,-5.92302985,1.484082567,-3.991037952,6.58e-05,0.000688046,down
ENSRNOG00000067157,ENSRNOG00000067157,ENSRNOG00000067157,6.099505006,-5.879427226,2.11949063,-2.773981231,0.005537487,0.023904527,down
LOC120095898,paired immunoglobulin-like type 2 receptor beta,ENSRNOG00000028965,6.023928953,-5.864289095,2.131405681,-2.751371617,0.005934628,0.025241663,down
ENSRNOG00000070333,ENSRNOG00000070333,ENSRNOG00000070333,6.017097287,-5.860375625,2.093254867,-2.799647438,0.005115845,0.022466636,down
Gpr156,G protein-coupled receptor 156,ENSRNOG00000002797,5.995691588,-5.855475532,2.106265932,-2.780026702,0.005435443,0.023599677,down
Gpr165,G protein-coupled receptor 165,ENSRNOG00000012995,5.889714438,-5.831717197,2.175991979,-2.680026973,0.007361623,0.030038493,down
Cend1,cell cycle exit and neuronal differentiation 1,ENSRNOG00000062814,5.859797006,-5.8222295,2.102882994,-2.768689231,0.005628229,0.024190562,down
Clcn1,chloride voltage-gated channel 1,ENSRNOG00000016917,5.783964498,-5.804034562,2.169441347,-2.67535906,0.007464925,0.030301948,down
LOC120102306,immunoglobulin kappa variable 3-20-like,ENSRNOG00000064697,269.9740525,-5.801694703,1.55208957,-3.737989621,0.000185498,0.001592379,down
Hhipl2,HHIP like 2,ENSRNOG00000056400,5.753536016,-5.796819298,2.303267212,-2.516781061,0.01184324,0.043665551,down
Slc4a9,solute carrier family 4 member 9,ENSRNOG00000018525,5.675539776,-5.778649762,2.288965401,-2.524568418,0.011584045,0.042903702,down
Orm1,orosomucoid 1,ENSRNOG00000007886,412.6197745,-5.740975801,1.34672367,-4.262920395,2.02e-05,0.000261607,down
ENSRNOG00000070109,ENSRNOG00000070109,ENSRNOG00000070109,758.0579972,-5.728649741,1.002963642,-5.711722243,1.12e-08,4.39e-07,down
LOC120102526,Ig kappa chain V region S211-like,ENSRNOG00000065855,2096.472135,-5.719529876,0.424932978,-13.45983997,2.6899999999999997e-41,8.43e-38,down
LOC120093588,uncharacterized LOC120093588,ENSRNOG00000065717,5.421968618,-5.711369675,2.188223047,-2.610049137,0.009052922,0.035356679,down
Cd40lg,CD40 ligand,ENSRNOG00000000871,45.07108633,-5.685915429,1.205889839,-4.715120108,2.42e-06,4.41e-05,down
Cacna1s,calcium voltage-gated channel subunit alpha1 S,ENSRNOG00000046231,5.310099748,-5.679852924,2.287622452,-2.482862904,0.013033124,0.04697988,down
ENSRNOG00000070963,ENSRNOG00000070963,ENSRNOG00000070963,5.290201675,-5.675714978,2.24654912,-2.526414815,0.011523333,0.042745787,down
ENSRNOG00000028984,ENSRNOG00000028984,ENSRNOG00000028984,5.142380458,-5.634893366,2.192099062,-2.570546863,0.010153809,0.038674702,down
Cdk5r2,cyclin-dependent kinase 5 regulatory subunit 2,ENSRNOG00000037793,5.104920484,-5.624761998,2.288975665,-2.457327129,0.013997516,0.049742451,down
ENSRNOG00000070565,ENSRNOG00000070565,ENSRNOG00000070565,1897.298405,-5.595010198,1.030172447,-5.431139432,5.6e-08,1.75e-06,down
LOC102551554,probable non-functional T cell receptor beta variable 23-1,ENSRNOG00000064192,4.969509568,-5.584361219,2.221331794,-2.513969878,0.011938063,0.043937501,down
ENSRNOG00000067603,ENSRNOG00000067603,ENSRNOG00000067603,1129.627627,-5.540108839,0.552785413,-10.02216901,1.2199999999999999e-23,6.930000000000001e-21,down
Rpp14,ribonuclease P/MRP subunit p14,ENSRNOG00000039829,189.6017783,-5.485823042,1.420683786,-3.861396249,0.000112741,0.001064687,down
LOC100360610,rCG64220-like,ENSRNOG00000067682,294.1166065,-5.450620225,1.304575683,-4.17807897,2.94e-05,0.000355162,down
ENSRNOG00000068734,ENSRNOG00000068734,ENSRNOG00000068734,41.0480225,-5.436351392,1.72718266,-3.147525457,0.001646588,0.009212306,down
Cxcl11,C-X-C motif chemokine ligand 11,ENSRNOG00000022298,873.9764339,-5.411217131,0.366733822,-14.75516249,2.85e-49,1.3399999999999999e-45,down
ENSRNOG00000033376,ENSRNOG00000033376,ENSRNOG00000033376,958.4373815,-5.361757628,0.526634923,-10.18116612,2.4099999999999998e-24,1.5100000000000002e-21,down
Ccl1,C-C motif chemokine ligand 1,ENSRNOG00000021851,87.23294937,-5.323882652,1.037066559,-5.133597844,2.84e-07,6.99e-06,down
LOC102552859,Ig heavy chain V region VH558 A1/A4-like,ENSRNOG00000063713,1493.977569,-5.314185185,1.149064454,-4.624792947,3.75e-06,6.36e-05,down
Adamts4,ADAM metallopeptidase with thrombospondin type 1 motif,ENSRNOG00000003538,30.267303,-5.311871843,1.279088555,-4.152856986,3.28e-05,0.000388679,down
LOC100361705,rCG64259-like,ENSRNOG00000069376,663.2307924,-5.278024426,0.958720999,-5.505276752,3.69e-08,1.23e-06,down
ENSRNOG00000065629,ENSRNOG00000065629,ENSRNOG00000065629,49.61943423,-5.25463677,0.865626391,-6.070328749,1.28e-09,6.68e-08,down
F7,coagulation factor VII,ENSRNOG00000032737,28.91576094,-5.243526747,1.234798137,-4.246464737,2.17e-05,0.000278114,down
LOC102556118,Ig kappa chain V-V region L6-like,ENSRNOG00000070412,257.2938427,-5.222362506,0.832635281,-6.272088905,3.56e-10,2.16e-08,down
ENSRNOG00000064582,ENSRNOG00000064582,ENSRNOG00000064582,1299.368781,-5.211117744,1.337104209,-3.897316089,9.73e-05,0.000941746,down
ENSRNOG00000065952,ENSRNOG00000065952,ENSRNOG00000065952,1286.989312,-5.199330885,1.188804346,-4.373579979,1.22e-05,0.000173182,down
Ccr8,C-C motif chemokine receptor 8,ENSRNOG00000026759,27.88055613,-5.189939016,1.298981604,-3.995390698,6.46e-05,0.000680454,down
Igh-6-ps1,immunoglobulin heavy chain 6,ENSRNOG00000029776,278.8770866,-5.171296622,0.644355892,-8.025528569,1.01e-15,1.9e-13,down
Acod1,aconitate decarboxylase 1,ENSRNOG00000009919,809.3357386,-5.150440777,0.489218666,-10.52789097,6.43e-26,4.64e-23,down
ENSRNOG00000065690,ENSRNOG00000065690,ENSRNOG00000065690,233.6849322,-5.114145128,0.726011129,-7.044169055,1.87e-12,1.83e-10,down
LOC102554934,Ig kappa chain V-V region L7-like,ENSRNOG00000064789,231.5286276,-5.107591896,1.693786134,-3.015488079,0.00256566,0.013136918,down
LOC102547982,immunoglobulin kappa variable 1D-33-like,ENSRNOG00000069405,2393.121611,-5.096369402,0.93135222,-5.472010798,4.45e-08,1.46e-06,down
ENSRNOG00000068013,ENSRNOG00000068013,ENSRNOG00000068013,1915.041244,-5.095940819,0.914196418,-5.574229697,2.49e-08,8.68e-07,down
Rnase9,ribonuclease A family member 9,ENSRNOG00000029516,23.71977734,-5.086471514,1.539669713,-3.303612113,0.000954478,0.005961201,down
LOC102552133,immunoglobulin kappa variable 1-39-like,ENSRNOG00000070091,2134.908825,-5.052385106,0.847123091,-5.964168799,2.46e-09,1.18e-07,down
Nat14,N-acetyltransferase 14,ENSRNOG00000067958,25.1085278,-5.035054919,1.401827362,-3.591779598,0.000328428,0.002522872,down
Slc26a4,solute carrier family 26 member 4,ENSRNOG00000058692,3860.936638,-5.002202285,0.853911306,-5.857988122,4.69e-09,2.08e-07,down
Akr1c3,aldo-keto reductase family 1,ENSRNOG00000017531,23.40657161,-4.929087515,1.242533228,-3.966966359,7.28e-05,0.000748423,down
ENSRNOG00000030812,ENSRNOG00000030812,ENSRNOG00000030812,1068.033177,-4.906617769,1.060121837,-4.628352701,3.69e-06,6.27e-05,down
LOC108351348,Ig heavy chain V region 102-like,ENSRNOG00000069071,344.0889363,-4.905246119,1.821083384,-2.693586775,0.007068774,0.029032852,down
LOC690255,Ig kappa chain V-V region K2-like,ENSRNOG00000068865,594.1582348,-4.904629393,0.584920424,-8.385122472,5.07e-17,1.19e-14,down
LOC120103446,Ig heavy chain V region VH558 A1/A4-like,ENSRNOG00000069868,1297.415233,-4.888665939,0.929800139,-5.257759956,1.46e-07,3.94e-06,down
ENSRNOG00000063340,ENSRNOG00000063340,ENSRNOG00000063340,123.1969852,-4.882382185,1.682047743,-2.902641857,0.003700295,0.017511809,down
Tigit,T cell immunoreceptor with Ig and ITIM domains,ENSRNOG00000056574,116.8476228,-4.874885863,0.833750075,-5.846939038,5.01e-09,2.22e-07,down
ENSRNOG00000064873,ENSRNOG00000064873,ENSRNOG00000064873,644.6863834,-4.848022122,0.426038012,-11.37931825,5.3e-30,5.850000000000001e-27,down
ENSRNOG00000063672,ENSRNOG00000063672,ENSRNOG00000063672,43.39160118,-4.845128329,0.93227452,-5.197104743,2.02e-07,5.21e-06,down
ENSRNOG00000064940,ENSRNOG00000064940,ENSRNOG00000064940,1573.780786,-4.837236183,0.388808654,-12.44117417,1.56e-35,2.44e-32,down
LOC102554450,T-cell receptor beta chain V region PHDS203-like,ENSRNOG00000033815,11.67022469,-4.789248802,1.626760974,-2.944039646,0.003239585,0.015756468,down
LOC691925,Ig heavy chain V region 23-like,ENSRNOG00000066076,539.2639647,-4.778878685,0.573208339,-8.337071115,7.62e-17,1.72e-14,down
ENSRNOG00000063277,ENSRNOG00000063277,ENSRNOG00000063277,267.1141072,-4.748706317,1.361790013,-3.487106141,0.000488278,0.003505515,down
ENSRNOG00000065237,ENSRNOG00000065237,ENSRNOG00000065237,887.8233966,-4.684857779,0.504216622,-9.291359267,1.52e-20,6.14e-18,down
LOC100363522,hypothetical protein LOC100363522,ENSRNOG00000062587,52.75708575,-4.684261068,1.347970926,-3.475046069,0.000510766,0.003639132,down
ENSRNOG00000063329,ENSRNOG00000063329,ENSRNOG00000063329,729.0382828,-4.683232117,1.041181267,-4.497998824,6.86e-06,0.000106873,down
Ccl9,C-C motif chemokine ligand 9,ENSRNOG00000028548,17202.87528,-4.658193013,0.391240643,-11.90620937,1.1e-32,1.47e-29,down
Tlr9,toll-like receptor 9,ENSRNOG00000048161,14.13693317,-4.605759482,1.518533314,-3.03303157,0.002421103,0.012535516,down
ENSRNOG00000070816,ENSRNOG00000070816,ENSRNOG00000070816,102.7432552,-4.58283867,1.18246026,-3.875680921,0.000106327,0.001016386,down
Nipal1,NIPA-like domain containing 1,ENSRNOG00000025882,27.77042462,-4.580713779,1.241934433,-3.68837006,0.000225695,0.001863326,down
ENSRNOG00000062853,ENSRNOG00000062853,ENSRNOG00000062853,1174.185634,-4.576394901,0.906718738,-5.047204507,4.48e-07,1.04e-05,down
Jakmip1,janus kinase and microtubule interacting protein 1,ENSRNOG00000004998,124.1651637,-4.563182808,0.916507585,-4.978881662,6.4e-07,1.41e-05,down
ENSRNOG00000070933,ENSRNOG00000070933,ENSRNOG00000070933,769.1901556,-4.552970908,0.531202939,-8.571057446,1.03e-17,2.64e-15,down
LOC299458,Ig heavy chain variable gene segment,ENSRNOG00000030235,953.3891681,-4.53189891,1.813926187,-2.49839213,0.012475811,0.045453302,down
ENSRNOG00000069250,ENSRNOG00000069250,ENSRNOG00000069250,29.39205012,-4.530465061,1.14333024,-3.962516605,7.42e-05,0.000759189,down
LOC500159,Ig kappa chain V-V region L6-like,ENSRNOG00000068610,683.5737498,-4.499437975,1.065633543,-4.222312635,2.42e-05,0.000303051,down
ENSRNOG00000068055,ENSRNOG00000068055,ENSRNOG00000068055,588.6223908,-4.498693727,1.49669761,-3.005746583,0.002649297,0.01346451,down
LOC108348367,Ig kappa chain V-II region 26-10-like,ENSRNOG00000063550,181.5791465,-4.490546549,1.449509472,-3.097976686,0.001948468,0.010601757,down
ENSRNOG00000065459,ENSRNOG00000065459,ENSRNOG00000065459,123.6397208,-4.435180843,1.135760778,-3.905030821,9.42e-05,0.000917884,down
LOC500162,Ig kappa chain V-V region L6-like,ENSRNOG00000068441,621.5980585,-4.419429148,0.51003582,-8.664938762,4.52e-18,1.21e-15,down
Elavl4,ELAV like RNA binding protein 4,ENSRNOG00000023601,37.74890554,-4.397788843,1.223597945,-3.594145333,0.000325458,0.002508272,down
ENSRNOG00000067079,ENSRNOG00000067079,ENSRNOG00000067079,500.3875266,-4.37913165,1.152832755,-3.798583647,0.000145525,0.001305971,down
Atp8a2,ATPase phospholipid transporting 8A2,ENSRNOG00000008053,11.19095556,-4.377828055,1.572155816,-2.78460189,0.005359348,0.023339457,down
Lcn2,lipocalin 2,ENSRNOG00000013973,63303.53191,-4.35736933,0.821823576,-5.302073895,1.14e-07,3.21e-06,down
Slc7a2,solute carrier family 7 member 2,ENSRNOG00000011016,466.2370425,-4.348141211,0.449784229,-9.667171344,4.16e-22,1.95e-19,down
Tnip3,TNFAIP3 interacting protein 3,ENSRNOG00000064111,225.8078989,-4.3414312,0.666928287,-6.509592237,7.54e-11,5.32e-09,down
LOC120102522,immunoglobulin kappa variable 5-2-like,ENSRNOG00000064041,1561.305532,-4.327202462,0.949137892,-4.559087251,5.14e-06,8.36e-05,down
LOC361962,immunoglobulin kappa variable 2-30-like,ENSRNOG00000070247,462.8124048,-4.275259116,1.480291724,-2.888119313,0.003875528,0.01812635,down
ENSRNOG00000067233,ENSRNOG00000067233,ENSRNOG00000067233,1509.393137,-4.274381179,0.849679181,-5.030582455,4.89e-07,1.12e-05,down
Nutm1,NUT midline carcinoma,ENSRNOG00000005111,11.23803303,-4.259451224,1.668338659,-2.553109467,0.010676593,0.040184917,down
Il6,interleukin 6,ENSRNOG00000010278,101.3460012,-4.241906833,1.08232338,-3.919260094,8.88e-05,0.000878572,down
ENSRNOG00000065905,ENSRNOG00000065905,ENSRNOG00000065905,471.4024264,-4.241343044,1.218050669,-3.482074393,0.000497545,0.003562516,down
Tnfrsf13b,TNF receptor superfamily member 13B,ENSRNOG00000002304,81.74511687,-4.217795672,0.649642397,-6.492488312,8.44e-11,5.91e-09,down
ENSRNOG00000064122,ENSRNOG00000064122,ENSRNOG00000064122,17.63299756,-4.214144093,1.158027357,-3.639071276,0.000273623,0.002179465,down
Cxcl10,C-X-C motif chemokine ligand 10,ENSRNOG00000022256,1357.51321,-4.189913051,0.302381309,-13.85638903,1.16e-43,4.37e-40,down
LOC108349283,immunoglobulin kappa variable 1-39-like,ENSRNOG00000056052,269.3247585,-4.185052807,0.718039102,-5.828446941,5.59e-09,2.43e-07,down
ENSRNOG00000069427,ENSRNOG00000069427,ENSRNOG00000069427,43.07824733,-4.18490397,1.240229877,-3.374297013,0.000740045,0.004883515,down
LOC102550806,Ig kappa chain V-V region K2-like,ENSRNOG00000063659,454.8489682,-4.173013255,0.622383651,-6.704888935,2.02e-11,1.65e-09,down
ENSRNOG00000066577,ENSRNOG00000066577,ENSRNOG00000066577,53.9499104,-4.167756893,1.018315201,-4.092796504,4.26e-05,0.000483767,down
LOC120102295,immunoglobulin kappa variable 1-9-like,ENSRNOG00000066922,976.9111706,-4.161416481,1.384994171,-3.004645484,0.002658906,0.013498728,down
ENSRNOG00000062487,ENSRNOG00000062487,ENSRNOG00000062487,973.217582,-4.161184656,1.227936027,-3.388763392,0.000702086,0.0046824,down
Hs3st3b1,heparan sulfate-glucosamine 3-sulfotransferase 3B1,ENSRNOG00000003384,19.7401277,-4.150128166,1.148190715,-3.614493754,0.000300935,0.002353377,down
LOC690509,Ig kappa chain V-VI region NQ2-48.2.2-like,ENSRNOG00000069088,1590.900145,-4.145319114,0.468938898,-8.839785161,9.59e-19,3e-16,down
Kif22,kinesin family member 22,ENSRNOG00000020281,31.12320524,-4.11509174,1.325788869,-3.103881647,0.001909997,0.010429985,down
Fabp7,fatty acid binding protein 7,ENSRNOG00000000814,12.17436202,-4.082235004,1.49105709,-2.737812678,0.006184929,0.026071926,down
LOC120103442,immunoglobulin heavy variable 3-73-like,ENSRNOG00000060184,60.35125878,-4.079366152,1.073639447,-3.79956806,0.000144949,0.001301417,down
Vwce,von Willebrand factor C and EGF domains,ENSRNOG00000060269,45.06324651,-4.077087263,0.951605796,-4.284428784,1.83e-05,0.000242223,down
LOC120102300,Ig kappa chain V-VI region NQ2-48.2.2-like,ENSRNOG00000063035,53.22936284,-4.065142086,1.135808863,-3.579072341,0.000344816,0.0026149,down
LOC503101,Ig heavy chain V region 108A-like,ENSRNOG00000065115,139.4739805,-4.028023504,1.586359958,-2.539161105,0.011111864,0.041556601,down
ENSRNOG00000065655,ENSRNOG00000065655,ENSRNOG00000065655,55.85488788,-4.018565201,0.805434896,-4.989311018,6.06e-07,1.35e-05,down
LOC682538,Ig kappa chain V-V region L6-like,ENSRNOG00000063859,1123.348011,-4.012160732,0.893258661,-4.491600144,7.07e-06,0.000109862,down
ENSRNOG00000063148,ENSRNOG00000063148,ENSRNOG00000063148,430.5436197,-4.006585937,0.554107058,-7.230707283,4.8e-13,5.43e-11,down
ENSRNOG00000069249,ENSRNOG00000069249,ENSRNOG00000069249,538.5941802,-4.006146708,0.568238481,-7.050115127,1.79e-12,1.77e-10,down
ENSRNOG00000066072,ENSRNOG00000066072,ENSRNOG00000066072,524.083288,-3.944941322,0.501202427,-7.870954151,3.52e-15,5.8e-13,down
Ccl22,C-C motif chemokine ligand 22,ENSRNOG00000016535,375.508377,-3.934777423,0.475527048,-8.274560703,1.29e-16,2.85e-14,down
ENSRNOG00000068279,ENSRNOG00000068279,ENSRNOG00000068279,216.2556598,-3.914222433,0.642019649,-6.096733085,1.08e-09,5.73e-08,down
ENSRNOG00000062682,ENSRNOG00000062682,ENSRNOG00000062682,579.3272596,-3.903999018,0.501352867,-7.786928682,6.87e-15,1.04e-12,down
Il23r,interleukin 23 receptor,ENSRNOG00000007544,42.87100361,-3.890588422,0.90904674,-4.279855206,1.87e-05,0.000246423,down
Rpl3l,ribosomal protein L3-like,ENSRNOG00000014641,55.88122367,-3.871075551,1.348598282,-2.870443781,0.004098961,0.01892619,down
LOC108351380,Ig heavy chain V region 108A-like,ENSRNOG00000064626,113.8201945,-3.865133551,0.671554842,-5.755499493,8.64e-09,3.51e-07,down
ENSRNOG00000004712,ENSRNOG00000004712,ENSRNOG00000004712,256.5857942,-3.864548579,0.469612102,-8.229235501,1.88e-16,3.97e-14,down
