SYMBOL,GENENAME,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Bcl2a1,BCL2-related protein A1,ENSRNOG00000047606,4242.692622,-2.441847599,0.207081591,-11.79171738,4.31E-32,5.39E-29,down
Ampd1,adenosine monophosphate deaminase 1,ENSRNOG00000018656,34.94739527,2.101089566,0.819735289,2.563131773,0.010373267,0.039263652,up
Synpr,synaptoporin,ENSRNOG00000008203,19.70483934,-2.172459298,0.885136109,-2.454378796,0.014112823,0.049981917,down
Hmox1,heme oxygenase 1,ENSRNOG00000014117,6716.52212,-2.413972667,0.289203328,-8.346974028,7.00E-17,1.62E-14,down
ENSRNOG00000068587,ENSRNOG00000068587,ENSRNOG00000068587,840.57005,2.455316002,0.955713455,2.569092221,0.010196532,0.038798072,up
LOC100359793,mCG1050586-like,ENSRNOG00000065476,32.19950674,-8.280163768,1.69939652,-4.87241422,1.10E-06,2.24E-05,down
Tbx22,T-box transcription factor 22,ENSRNOG00000002346,8.553657909,6.71004604,1.862949816,3.601839397,0.000315974,0.002446222,up
Cfap92,cilia and flagella associated protein 92,ENSRNOG00000031408,556.9307681,2.162793925,0.339864469,6.363695307,1.97E-10,1.28E-08,up
Ppp1r1b,protein phosphatase 1,ENSRNOG00000028404,3491.366124,2.232061014,0.337017261,6.622987219,3.52E-11,2.70E-09,up
LOC361962,immunoglobulin kappa variable 2-30-like,ENSRNOG00000070247,462.8124048,-4.275259116,1.480291724,-2.888119313,0.003875528,0.01812635,down
Nwd1,NACHT and WD repeat domain containing 1,ENSRNOG00000052129,1020.625563,2.231046398,0.364204233,6.125811279,9.02E-10,4.85E-08,up
ENSRNOG00000053452,ENSRNOG00000053452,ENSRNOG00000053452,4087.613171,-2.637005764,0.285216749,-9.245620282,2.34E-20,9.15E-18,down
LOC102555255,Ig heavy chain V region PJ14-like,ENSRNOG00000066281,125.405849,-3.117971472,0.918989219,-3.39282704,0.000691753,0.004631587,down
ENSRNOG00000066286,ENSRNOG00000066286,ENSRNOG00000066286,1322.637771,13.98256592,3.906797411,3.579035319,0.000344865,0.0026149,up
ENSRNOG00000066285,ENSRNOG00000066285,ENSRNOG00000066285,26.1153637,2.646587921,0.892787243,2.96441055,0.003032634,0.014971846,up
Noxo1,NADPH oxidase organizer 1,ENSRNOG00000025117,1890.492278,-3.711118369,0.294328847,-12.60874835,1.89E-36,3.55E-33,down
Vwa3a,von Willebrand factor A domain containing 3A,ENSRNOG00000025110,5263.828861,2.22646344,0.419275798,5.310259865,1.09E-07,3.10E-06,up
LOC108351380,Ig heavy chain V region 108A-like,ENSRNOG00000064626,113.8201945,-3.865133551,0.671554842,-5.755499493,8.64E-09,3.51E-07,down
C4bpa,complement component 4 binding protein,ENSRNOG00000004062,3405.131327,-2.436457284,0.302686683,-8.04943666,8.32E-16,1.58E-13,down
LOC100912365,uncharacterized LOC100912365,ENSRNOG00000004066,14.08991012,2.659544954,0.994212966,2.675025417,0.007472358,0.03031901,up
Bnc1,basonuclin 1,ENSRNOG00000019770,187.4924875,2.780766612,0.607471996,4.577604617,4.70E-06,7.80E-05,up
Amtn,amelotin,ENSRNOG00000003776,54.64152621,-2.152309148,0.625837106,-3.439088424,0.000583677,0.004049499,down
F7,coagulation factor VII,ENSRNOG00000032737,28.91576094,-5.243526747,1.234798137,-4.246464737,2.17E-05,0.000278114,down
LOC500181,immunoglobulin kappa variable 1-39-like,ENSRNOG00000071189,2642.572312,-3.318971292,1.188480952,-2.792616312,0.005228367,0.022859189,down
Folr2,folate receptor beta,ENSRNOG00000019890,386.6508584,-2.092109171,0.409980014,-5.102954041,3.34E-07,7.97E-06,down
ENSRNOG00000070134,ENSRNOG00000070134,ENSRNOG00000070134,350.2027337,-3.142942219,0.607522213,-5.173378279,2.30E-07,5.81E-06,down
Cenpw,centromere protein W,ENSRNOG00000042944,94.59405818,-3.256631521,0.509803261,-6.388016258,1.68E-10,1.11E-08,down
ENSRNOG00000069108,ENSRNOG00000069108,ENSRNOG00000069108,133.4655104,2.074738307,0.554378458,3.742458385,0.000182229,0.001567902,up
ENSRNOG00000069100,ENSRNOG00000069100,ENSRNOG00000069100,164.2937849,4.258191258,1.681550414,2.532300681,0.011331677,0.042160307,up
ENSRNOG00000069103,ENSRNOG00000069103,ENSRNOG00000069103,86.91280251,2.473724959,0.722881232,3.422035112,0.000621543,0.004246305,up
ENSRNOG00000068279,ENSRNOG00000068279,ENSRNOG00000068279,216.2556598,-3.914222433,0.642019649,-6.096733085,1.08E-09,5.73E-08,down
ENSRNOG00000067233,ENSRNOG00000067233,ENSRNOG00000067233,1509.393137,-4.274381179,0.849679181,-5.030582455,4.89E-07,1.12E-05,down
Dnah12,dynein,ENSRNOG00000059865,9466.973813,2.043241971,0.360571516,5.666676034,1.46E-08,5.49E-07,up
ENSRNOG00000065160,ENSRNOG00000065160,ENSRNOG00000065160,81.48007504,-2.772782415,1.002276141,-2.766485503,0.00566641,0.0243157,down
Itga2,integrin subunit alpha 2,ENSRNOG00000058111,11.44974137,-6.789804838,1.739828259,-3.90257188,9.52E-05,0.000924862,down
Il6,interleukin 6,ENSRNOG00000010278,101.3460012,-4.241906833,1.08232338,-3.919260094,8.88E-05,0.000878572,down
LOC102554934,Ig kappa chain V-V region L7-like,ENSRNOG00000064789,231.5286276,-5.107591896,1.693786134,-3.015488079,0.00256566,0.013136918,down
ENSRNOG00000065952,ENSRNOG00000065952,ENSRNOG00000065952,1286.989312,-5.199330885,1.188804346,-4.373579979,1.22E-05,0.000173182,down
ENSRNOG00000070183,ENSRNOG00000070183,ENSRNOG00000070183,865.291282,-3.825877602,1.132450473,-3.378406115,0.000729073,0.004822981,down
LOC102550533,Ig kappa chain V-V region L7-like,ENSRNOG00000070718,933.9144879,-2.257948975,0.566981545,-3.982402946,6.82E-05,0.000708015,down
Osbp2,oxysterol binding protein 2,ENSRNOG00000019645,97.74231013,2.233272067,0.505457889,4.418314788,9.95E-06,0.000145332,up
LOC680920,similar to natural cytotoxicity triggering receptor 2,ENSRNOG00000042468,19.05224431,-3.265220382,1.2465814,-2.619339885,0.008810012,0.034638569,down
Cd2,Cd2 molecule,ENSRNOG00000015821,768.977113,-2.400291149,0.436643464,-5.497142059,3.86E-08,1.28E-06,down
RGD1563231,similar to immunoglobulin kappa-chain VK-1,ENSRNOG00000047571,1782.24757,-2.220664861,0.903857493,-2.456874982,0.014015145,0.049767417,down
ENSRNOG00000065335,ENSRNOG00000065335,ENSRNOG00000065335,196.1332935,2.359127744,0.849931602,2.775667757,0.005508847,0.023840113,up
Astl,astacin like metalloendopeptidase,ENSRNOG00000022603,9.277736847,-6.484735893,1.887653694,-3.435341935,0.000591807,0.004089281,down
LOC120102524,Ig kappa chain V-II region 26-10-like,ENSRNOG00000064061,112.7018176,-3.31673727,0.848775135,-3.907674877,9.32E-05,0.000910735,down
Ttc34,tetratricopeptide repeat domain 34,ENSRNOG00000024526,382.3588032,2.201584498,0.480878689,4.578253408,4.69E-06,7.78E-05,up
LOC120102117,U12 minor spliceosomal RNA,ENSRNOG00000065851,20.61061417,3.557685425,1.312962975,2.709661652,0.006735188,0.027881256,up
LOC120102526,Ig kappa chain V region S211-like,ENSRNOG00000065855,2096.472135,-5.719529876,0.424932978,-13.45983997,2.69E-41,8.43E-38,down
Gk,glycerol kinase,ENSRNOG00000034116,2491.081368,-2.93410932,0.191401352,-15.32961651,4.85E-53,3.73E-49,down
Adamts4,ADAM metallopeptidase with thrombospondin type 1 motif,ENSRNOG00000003538,30.267303,-5.311871843,1.279088555,-4.152856986,3.28E-05,0.000388679,down
P2rx6,purinergic receptor P2X 6,ENSRNOG00000001873,2392.447406,2.060835497,0.338484354,6.088421738,1.14E-09,6.01E-08,up
Cfap221,cilia and flagella associated protein 221,ENSRNOG00000056781,430.9721149,2.055057268,0.327714548,6.270875915,3.59E-10,2.17E-08,up
Nxnl1,nucleoredoxin-like 1,ENSRNOG00000042658,67.77067199,2.808582474,0.570911615,4.919469842,8.68E-07,1.84E-05,up
Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,ENSRNOG00000003189,48.89966378,2.119912749,0.843818375,2.512285597,0.011995197,0.044074488,up
ENSRNOG00000063706,ENSRNOG00000063706,ENSRNOG00000063706,30.03085958,-2.507713577,0.720510033,-3.48047003,0.000500535,0.003581189,down
ENSRNOG00000064534,ENSRNOG00000064534,ENSRNOG00000064534,12.01721394,5.363876119,1.740067749,3.082567402,0.002052232,0.01102077,up
Penk,proenkephalin,ENSRNOG00000008943,60.79734365,2.945220496,1.125600397,2.616577343,0.008881624,0.034842023,up
Aldh1a7,aldehyde dehydrogenase family 1,ENSRNOG00000017878,2901.34879,2.092297546,0.403746533,5.182205599,2.19E-07,5.58E-06,up
Tk1,thymidine kinase 1,ENSRNOG00000047314,675.050756,-2.159476694,0.485745975,-4.445691385,8.76E-06,0.000130228,down
Prss21,serine protease 21,ENSRNOG00000047969,13.44249935,3.388766889,1.271047563,2.666121229,0.007673202,0.030959959,up
ENSRNOG00000004712,ENSRNOG00000004712,ENSRNOG00000004712,256.5857942,-3.864548579,0.469612102,-8.229235501,1.88E-16,3.97E-14,down
Clcn1,chloride voltage-gated channel 1,ENSRNOG00000016917,5.783964498,-5.804034562,2.169441347,-2.67535906,0.007464925,0.030301948,down
ENSRNOG00000069051,ENSRNOG00000069051,ENSRNOG00000069051,129.3025985,-2.495507162,1.01578531,-2.456726965,0.01402092,0.049769098,down
ENSRNOG00000030478,ENSRNOG00000030478,ENSRNOG00000030478,39870.87258,2.30486459,0.352783777,6.533363317,6.43E-11,4.61E-09,up
Ly75,lymphocyte antigen 75,ENSRNOG00000007012,1008.888163,-2.167147105,0.21372863,-10.13971363,3.68E-24,2.23E-21,down
Ttll9,tubulin tyrosine ligase like 9,ENSRNOG00000008596,1823.833557,2.514992138,0.406926075,6.180464445,6.39E-10,3.68E-08,up
Bub1b,BUB1 mitotic checkpoint serine/threonine kinase B,ENSRNOG00000007906,241.3053728,-2.110850891,0.603879128,-3.495485758,0.0004732,0.003412462,down
Sectm1a,secreted and transmembrane 1A,ENSRNOG00000036672,87.82799262,-2.822602819,0.607301286,-4.647780078,3.36E-06,5.83E-05,down
Mt2A,metallothionein 2A,ENSRNOG00000043098,604.9484716,-3.018653096,0.322302261,-9.365907296,7.54E-21,3.15E-18,down
Scn10a,sodium voltage-gated channel alpha subunit 10,ENSRNOG00000032473,118.9020853,-2.395634386,0.607080887,-3.946153531,7.94E-05,0.000803324,down
Kif11,kinesin family member 11,ENSRNOG00000056069,385.9804977,-2.109102799,0.369429749,-5.709076778,1.14E-08,4.43E-07,down
LOC100910497,paired immunoglobulin-like type 2 receptor alpha-like,ENSRNOG00000050059,462.9337561,-2.783111196,0.441688543,-6.301071746,2.96E-10,1.84E-08,down
UST4r,integral membrane transport protein UST4r,ENSRNOG00000049826,40.90067793,3.03516421,0.995375008,3.049267047,0.002294005,0.01201329,up
ENSRNOG00000049829,ENSRNOG00000049829,ENSRNOG00000049829,296794.6339,-2.435155965,0.702650408,-3.465672172,0.000528908,0.003734379,down
Tlr11,toll-like receptor 11,ENSRNOG00000032368,114.2928682,-2.212898091,0.507412859,-4.361139161,1.29E-05,0.00018182,down
ENSRNOG00000062828,ENSRNOG00000062828,ENSRNOG00000062828,47.01828404,2.269243352,0.59197403,3.833349498,0.00012641,0.001164493,up
Rnase9,ribonuclease A family member 9,ENSRNOG00000029516,23.71977734,-5.086471514,1.539669713,-3.303612113,0.000954478,0.005961201,down
Prss27,serine protease 27,ENSRNOG00000005336,10.75735244,7.039703559,1.93261416,3.64258097,0.000269918,0.00215178,up
Cfap20dc,CFAP20 domain containing,ENSRNOG00000007206,413.5311786,2.317000717,0.441918536,5.243049405,1.58E-07,4.19E-06,up
Ikzf3,IKAROS family zinc finger 3,ENSRNOG00000007200,67.29079334,-2.267199813,0.675580753,-3.355927182,0.000790994,0.005152713,down
ENSRNOG00000066814,ENSRNOG00000066814,ENSRNOG00000066814,249.3571582,-2.053221752,0.806508496,-2.545815402,0.010902282,0.040894995,down
LOC682830,Ig kappa chain V-II region 26-10-like,ENSRNOG00000066812,32.83302727,-3.516549122,1.418557928,-2.478960536,0.013176588,0.047408805,down
Themis,thymocyte selection associated,ENSRNOG00000014979,50.40344448,-2.302667582,0.708000654,-3.25235234,0.00114454,0.006878234,down
Ly6i,lymphocyte antigen 6 complex,ENSRNOG00000007137,25186.97141,-2.465041065,0.346171921,-7.120857909,1.07E-12,1.14E-10,down
Zbtb32,zinc finger and BTB domain containing 32,ENSRNOG00000042465,202.3561732,-2.069554948,0.535354754,-3.865763648,0.000110742,0.00105163,down
Cxcl10,C-X-C motif chemokine ligand 10,ENSRNOG00000022256,1357.51321,-4.189913051,0.302381309,-13.85638903,1.16E-43,4.37E-40,down
LOC691927,Ig heavy chain V region 108A-like,ENSRNOG00000069751,68.85596028,-3.277373775,0.869034204,-3.771282835,0.00016241,0.00142681,down
Tspyl1,TSPY-like 1,ENSRNOG00000063919,526.8337238,2.004695968,0.400532636,5.005075219,5.58E-07,1.26E-05,up
Gcsam,germinal center-associated,ENSRNOG00000022110,283.3476089,-2.047418486,0.468650212,-4.368756127,1.25E-05,0.000176359,down
Megf10,multiple EGF-like domains 10,ENSRNOG00000013674,53.23447341,-2.204137353,0.809703164,-2.722154798,0.006485775,0.027052643,down
Ido1,indoleamine 2,ENSRNOG00000031189,34.86152549,-3.45664539,1.282724489,-2.694768377,0.007043758,0.028949104,down
Mybpc1,myosin binding protein C1,ENSRNOG00000056493,46.35841827,4.517617154,1.407816217,3.208953767,0.001332189,0.007786587,up
Myb,MYB proto-oncogene,ENSRNOG00000055858,3431.980839,2.383626304,0.412415856,5.779666977,7.48E-09,3.11E-07,up
ENSRNOG00000064670,ENSRNOG00000064670,ENSRNOG00000064670,138.247078,-2.561037616,0.879470951,-2.912020702,0.003590988,0.017110968,down
ENSRNOG00000021110,ENSRNOG00000021110,ENSRNOG00000021110,46.38404474,-3.379513831,1.344108554,-2.514316141,0.011926347,0.043902988,down
Tlr2,toll-like receptor 2,ENSRNOG00000009822,1639.993428,-3.137471283,0.162923024,-19.25738432,1.22E-82,2.30E-78,down
Gfap,glial fibrillary acidic protein,ENSRNOG00000002919,18.17525981,-7.45538161,1.566182658,-4.760224852,1.93E-06,3.66E-05,down
ENSRNOG00000070333,ENSRNOG00000070333,ENSRNOG00000070333,6.017097287,-5.860375625,2.093254867,-2.799647438,0.005115845,0.022466636,down
Slamf6,SLAM family member 6,ENSRNOG00000038286,349.8039009,-2.176323142,0.311984743,-6.975735806,3.04E-12,2.91E-10,down
Itgam,integrin subunit alpha M,ENSRNOG00000019728,1484.514561,-2.556732173,0.284568888,-8.984580835,2.60E-19,8.71E-17,down
ENSRNOG00000006324,ENSRNOG00000006324,ENSRNOG00000006324,19.47176113,-2.600868199,1.012052922,-2.569893473,0.010172979,0.038732004,down
ENSRNOG00000068164,ENSRNOG00000068164,ENSRNOG00000068164,9.06891361,-6.452073592,1.863442826,-3.462447841,0.000535286,0.003768074,down
ENSRNOG00000018113,ENSRNOG00000018113,ENSRNOG00000018113,48.14421055,-2.704082956,0.577325648,-4.68380881,2.82E-06,5.03E-05,down
Ebi3,Epstein-Barr virus induced 3,ENSRNOG00000050509,230.333055,-2.668557078,0.434162365,-6.146449559,7.92E-10,4.38E-08,down
RGD1561722,similar to immunoglobulin light chain,ENSRNOG00000063414,201.4655688,-2.725849998,0.64293517,-4.239696514,2.24E-05,0.000284884,down
ENSRNOG00000063419,ENSRNOG00000063419,ENSRNOG00000063419,1437.915647,-3.79852629,0.394694159,-9.623973905,6.33E-22,2.90E-19,down
LOC120093588,uncharacterized LOC120093588,ENSRNOG00000065717,5.421968618,-5.711369675,2.188223047,-2.610049137,0.009052922,0.035356679,down
ENSRNOG00000070109,ENSRNOG00000070109,ENSRNOG00000070109,758.0579972,-5.728649741,1.002963642,-5.711722243,1.12E-08,4.39E-07,down
LOC102550611,immunoglobulin kappa variable 2-30-like,ENSRNOG00000067883,83.94263207,-2.714055931,0.872924349,-3.109153656,0.001876241,0.010276174,down
ENSRNOG00000067516,ENSRNOG00000067516,ENSRNOG00000067516,51.20450702,-3.754090849,1.062082862,-3.53464968,0.000408316,0.003018585,down
ENSRNOG00000067261,ENSRNOG00000067261,ENSRNOG00000067261,87.34854704,2.661406262,0.623992977,4.265122143,2.00E-05,0.000259938,up
ENSRNOG00000069909,ENSRNOG00000069909,ENSRNOG00000069909,33.18193742,-8.323506838,1.616077404,-5.150438227,2.60E-07,6.41E-06,down
Chrdl2,chordin-like 2,ENSRNOG00000018394,10.62412731,-6.681569573,1.752101271,-3.813460833,0.000137034,0.001248268,down
Cdkn2a,cyclin-dependent kinase inhibitor 2A,ENSRNOG00000059837,42.99829668,-3.202984388,0.875096655,-3.660149274,0.000252068,0.002038919,down
Gbp5,guanylate binding protein 5,ENSRNOG00000032240,2134.629308,-2.083039558,0.265285515,-7.852066701,4.09E-15,6.51E-13,down
RGD1564786,similar to OTTMUSP00000000636,ENSRNOG00000063990,144.0568856,2.227173905,0.717097604,3.105816965,0.001897541,0.010371016,up
Tfec,transcription factor EC,ENSRNOG00000061595,153.2883511,-3.662898846,0.831791909,-4.403624037,1.06E-05,0.000154215,down
ENSRNOG00000065690,ENSRNOG00000065690,ENSRNOG00000065690,233.6849322,-5.114145128,0.726011129,-7.044169055,1.87E-12,1.83E-10,down
Rn7sl1,RNA component of signal recognition particle 7SL1,ENSRNOG00000065968,501.2767122,2.095578619,0.511592164,4.096189832,4.20E-05,0.000477601,up
LOC120103441,Ig heavy chain V region 23-like,ENSRNOG00000070729,70.86638676,-3.562684706,0.636951833,-5.593334567,2.23E-08,7.86E-07,down
ENSRNOG00000055730,ENSRNOG00000055730,ENSRNOG00000055730,27.36401197,2.477938657,0.828609968,2.990476523,0.002785425,0.013989127,up
Slc4a9,solute carrier family 4 member 9,ENSRNOG00000018525,5.675539776,-5.778649762,2.288965401,-2.524568418,0.011584045,0.042903702,down
ENSRNOG00000059654,ENSRNOG00000059654,ENSRNOG00000059654,5.220923606,5.999354632,2.275721437,2.636242966,0.008382968,0.033223949,up
Gpr33,G protein-coupled receptor 33,ENSRNOG00000038990,11.2666513,-6.765537385,1.7957454,-3.767537083,0.000164866,0.001443154,down
Rtkn2,rhotekin 2,ENSRNOG00000000636,15.06753104,-6.203805461,1.934293113,-3.207272682,0.001339999,0.007820063,down
Akr1c3,aldo-keto reductase family 1,ENSRNOG00000017531,23.40657161,-4.929087515,1.242533228,-3.966966359,7.28E-05,0.000748423,down
Trim66,tripartite motif-containing 66,ENSRNOG00000014373,96.8442594,2.090710312,0.573862773,3.64322345,0.000269245,0.002147325,up
Il1r2,interleukin 1 receptor type 2,ENSRNOG00000014378,287.4599321,-3.454166265,0.431034141,-8.013672098,1.11E-15,2.05E-13,down
ENSRNOG00000066082,ENSRNOG00000066082,ENSRNOG00000066082,484.0194724,-3.340355336,0.693340085,-4.81777328,1.45E-06,2.85E-05,down
Mcoln3,mucolipin TRP cation channel 3,ENSRNOG00000015024,73.32694655,-2.578951422,0.643778243,-4.00596238,6.18E-05,0.000656989,down
LOC100361706,lambda-chain C1-region-like,ENSRNOG00000058590,1740.767926,-2.695168982,0.515770389,-5.225520971,1.74E-07,4.54E-06,down
Cd177,CD177 molecule,ENSRNOG00000022669,7099.871311,-3.289612086,0.37275211,-8.825200439,1.09E-18,3.31E-16,down
Rimkla,ribosomal modification protein rimK-like family member A,ENSRNOG00000008625,48.38755815,-2.298330767,0.702935682,-3.269617442,0.00107693,0.006557992,down
Dnai1,dynein,ENSRNOG00000013734,1167.346079,2.054740173,0.359133516,5.721382387,1.06E-08,4.19E-07,up
Ifi47,interferon gamma inducible protein 47,ENSRNOG00000002470,3377.377862,-2.052188034,0.301026996,-6.817289008,9.28E-12,8.06E-10,down
Wdr95,WD40 repeat domain 95,ENSRNOG00000000904,497.8725613,2.101585276,0.400637543,5.245602445,1.56E-07,4.15E-06,up
Mab21l3,mab-21 like 3,ENSRNOG00000016044,183.5550373,-3.541583109,0.446692019,-7.928467394,2.22E-15,3.79E-13,down
Apoa1,apolipoprotein A1,ENSRNOG00000045679,55.51288597,2.365485825,0.741987207,3.188041251,0.001432401,0.008231373,up
Dpy19l2,dpy-19 like 2,ENSRNOG00000045585,145.8994749,2.278941684,0.744823064,3.0597088,0.002215523,0.011713384,up
Clec12b,C-type lectin domain family 12,ENSRNOG00000053638,606.3524982,2.096550337,0.374371174,5.600191691,2.14E-08,7.60E-07,up
Spag1,sperm associated antigen 1,ENSRNOG00000010078,1837.174131,2.047565594,0.274345963,7.4634435,8.43E-14,1.03E-11,up
ENSRNOG00000067157,ENSRNOG00000067157,ENSRNOG00000067157,6.099505006,-5.879427226,2.11949063,-2.773981231,0.005537487,0.023904527,down
Lacc1,laccase domain containing 1,ENSRNOG00000022094,544.6051027,-2.049434057,0.234504155,-8.739436022,2.34E-18,6.66E-16,down
